CODMUN;municipio;UF;CODREG;CODPRE;prestadora;Sigla;Abrangencia;Natureza;servico;IN003;IN026;IN027;IN004;IN005;IN006;IN012;IN029;IN007;IN008;IN030;IN031;IN032;IN033;IN034;IN035;IN036;IN037;IN038;IN039;IN040;IN041;IN042;IN054;IN018;IN019;IN102;IN048;IN002;IN045;IN101;IN060;IN055;IN023;IN001;IN043;IN011;IN009;IN010;IN044;IN057;IN052;IN025;IN053;IN014;IN017;IN022;IN058;IN020;IN028;IN013;IN049;IN050;IN051;IN056;IN024;IN047;IN015;IN016;IN046;IN021;IN059;IN071;IN072;IN073;IN074;IN077;IN082;IN083;IN079;IN075;IN080;IN076;IN085;IN084;IN061;IN062;IN063;IN064;IN068;IN065;IN069;IN066;IN067
220090;Aroazes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,89;2,06;297,88;2,61;2,61;;90,43;-1,34;48,27;130.236,59;78,74;27,69;53,38;0,00;0,00;35,16;67,79;23,65;0,23;0,00;93,44;;6,56;176,95;1,93;644,95;638,98;0,81;1.243,50;0,81;101,78;0,58;72,74;97,49;1,01;96,82;0,00;87,70;37,77;71,12;0,00;53,11;18,93;10,05;8,15;12,06;109,12;0,53;13,03;63,72;36,28;46,89;17,52;294,48;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220100;Arraial;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,72;4,05;600,80;1,78;1,78;;37,69;-76,53;75,72;121.409,39;227,85;193,47;200,89;0,00;0,00;84,91;88,17;7,39;0,29;0,00;85,75;;14,25;158,76;2,08;229,20;227,28;4,24;238,00;4,24;79,75;0,60;35,97;69,31;1,01;94,12;0,00;99,68;51,51;94,26;0,00;54,64;18,32;10,01;9,47;12,35;95,55;0,34;12,34;67,42;32,58;45,36;13,32;275,54;;;;;;;;;;;;;;;;38,33;0,00;38,33;0,00;38,33;21,74;;;;;;;;;
220110;Avelino Lopes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,77;3,01;415,85;2,57;2,57;;68,19;3,53;51,08;98.785,98;116,93;71,51;74,91;0,00;0,00;61,16;64,07;12,14;18,31;0,00;96,17;;3,83;247,52;6,29;370,79;367,53;2,60;388,42;2,60;69,68;0,44;68,86;97,51;1,01;96,70;0,00;33,03;8,00;15,45;0,00;51,81;20,68;10,26;4,80;11,52;107,51;0,46;6,07;58,17;41,83;48,19;40,78;316,42;;;;;;;;;;;;;;;;20,00;12,50;20,00;8,33;20,00;4,17;;;;;;;;;
220115;Baixa Grande do Ribeiro;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,09;1,22;203,71;2,90;2,90;;138,97;-0,92;30,98;82.457,42;41,98;21,98;22,29;0,00;0,00;52,37;53,09;31,50;0,00;0,00;96,40;;3,60;236,02;2,03;762,45;755,79;1,31;773,00;1,31;151,85;0,48;57,77;93,66;1,01;96,25;0,00;55,14;29,87;49,25;0,00;60,64;21,45;13,01;11,61;13,94;102,46;0,52;9,13;64,96;35,04;39,36;20,83;280,05;;;;;;;;;;;;;;;;35,00;0,00;35,00;0,00;35,00;4,76;;;;;;;;;
220120;Barras;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,18;2,24;349,63;2,85;2,85;;89,49;7,34;47,01;128.363,83;78,67;46,92;52,53;0,00;0,00;59,64;66,77;10,89;13,59;0,00;89,67;;10,33;261,72;11,20;549,83;539,60;1,66;615,55;1,66;95,99;0,45;47,45;96,18;1,02;91,97;100,00;99,93;68,90;92,87;0,00;74,19;14,98;10,67;9,91;13,00;109,51;0,47;8,37;90,42;9,58;25,81;12,44;124,34;;;;;;;;;;;;;;;;40,83;2,04;40,83;4,08;40,83;10,20;;;;;;;;;
220130;Barreiras do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,59;2,76;414,83;2,72;2,72;;75,81;1,05;56,78;86.987,92;101,32;71,12;74,89;0,00;0,00;70,19;73,92;19,66;0,00;0,00;94,82;;5,18;361,23;2,11;283,69;280,37;3,39;298,75;3,39;81,07;0,59;65,20;97,48;1,01;91,55;0,00;46,49;19,76;32,95;0,00;59,96;19,38;11,62;8,29;12,53;114,47;0,60;10,50;64,64;35,36;40,04;17,65;258,20;;;;;;;;;;;;;;;;16,67;0,00;16,67;0,00;16,67;30,00;;;;;;;;;
220140;Barro Duro;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,05;2,18;318,01;2,68;2,68;;87,77;2,52;45,31;102.696,05;81,55;42,31;51,63;0,00;0,00;51,88;63,31;28,66;0,17;0,00;97,06;;2,94;140,80;3,66;510,12;494,68;1,66;622,50;1,66;92,71;0,52;88,06;97,49;1,03;93,92;0,00;96,25;40,99;78,79;0,00;52,03;19,53;10,16;8,33;12,14;115,37;0,75;8,21;62,19;37,81;47,97;31,41;317,56;;;;;;;;;;;;;;;;150,00;0,00;150,00;0,00;150,00;2,22;;;;;;;;;
220150;Batalha;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,23;1,39;208,35;2,78;2,78;;124,67;10,02;45,91;105.143,37;49,83;33,59;36,83;0,00;0,00;67,41;73,90;13,18;0,00;0,00;95,64;;4,36;135,13;5,48;682,89;676,14;1,35;748,60;1,35;122,18;0,54;47,58;97,50;1,01;94,00;35,40;99,87;49,20;95,75;0,00;51,38;20,07;10,31;9,89;12,53;114,16;0,21;9,19;62,43;37,57;48,62;30,38;324,04;;;;;;;;;;;;;;;;43,33;0,00;43,33;0,00;43,33;19,23;;;;;;;;;
220157;Belém do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,54;1,76;234,40;2,43;2,43;;95,76;2,02;60,10;54.222,06;72,39;23,89;62,76;0,00;0,00;33,00;86,70;4,63;0,00;0,00;96,96;;3,04;91,30;2,63;266,82;264,35;1,44;701,00;1,44;101,87;0,36;62,01;97,52;1,01;93,87;0,00;100,00;57,65;95,15;0,00;60,60;13,26;7,72;7,34;11,09;93,52;0,19;12,80;87,08;12,92;39,40;11,30;166,51;;;;;;;;;;;;;;;;13,33;37,50;13,33;0,00;13,33;12,50;;;;;;;;;
220160;Beneditinos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,43;2,65;365,30;2,46;2,46;;71,88;-6,49;64,83;171.377,56;107,47;83,01;90,18;0,00;0,00;77,25;83,92;9,53;0,27;0,00;92,25;;7,75;77,04;3,26;559,06;554,00;1,66;607,33;1,66;85,11;0,49;62,38;98,75;1,01;95,86;0,00;98,67;63,93;92,16;0,00;69,37;12,80;8,88;8,34;11,49;85,91;0,46;8,12;89,78;10,22;30,63;12,17;130,09;;;;;;;;;;;;;;;;135,00;0,00;135,00;0,00;135,00;2,47;;;;;;;;;
220170;Bertolínia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,28;2,31;375,44;2,98;2,98;;90,97;2,38;43,39;99.124,00;77,52;43,36;47,70;0,00;0,00;55,94;61,53;29,69;0,00;0,00;91,55;;8,45;203,92;3,30;429,06;422,85;2,15;472,00;2,15;100,68;0,42;88,93;97,50;1,01;95,02;0,00;90,40;46,04;82,81;0,00;55,60;21,27;11,83;10,85;13,54;126,99;1,03;13,72;63,64;36,36;44,40;17,87;315,08;;;;;;;;;;;;;;;;13,33;0,00;13,33;0,00;13,33;0,00;;;;;;;;;
220180;Bocaina;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,97;3,14;438,94;2,76;2,76;;69,44;0,47;59,63;172.213,60;114,10;84,36;85,86;0,00;0,00;73,93;75,25;19,03;0,24;0,00;97,72;;2,28;148,15;1,53;521,36;521,04;1,89;530,67;1,89;72,40;0,58;53,09;97,52;1,00;96,04;0,00;85,04;31,68;59,02;0,00;53,67;17,74;9,52;6,61;11,64;121,77;0,67;10,16;65,60;34,40;46,33;23,79;270,32;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220190;Bom Jesus;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,02;3,14;509,01;2,95;2,95;;73,31;3,27;55,28;133.645,44;106,59;41,20;75,41;0,00;0,00;38,65;70,75;22,87;0,00;0,00;93,19;;6,81;311,55;20,13;371,12;351,28;1,56;679,27;1,56;77,19;0,52;96,38;97,50;1,06;89,78;0,00;72,75;33,41;61,21;0,00;54,59;22,24;12,14;10,26;13,49;157,61;0,84;3,28;60,67;39,33;45,41;93,68;350,74;;;;;;;;;;;;;;;;16,67;0,00;16,67;0,00;16,67;10,00;;;;;;;;;
220192;Bonfim do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,39;3,65;510,28;2,46;2,46;;56,11;19,43;48,45;;148,39;0,65;86,35;0,00;0,00;0,44;58,19;27,82;9,60;0,00;95,83;;4,17;366,72;;;;;;;47,90;0,50;25,88;85,37;1,00;95,26;0,00;99,19;52,25;93,78;0,00;55,72;17,23;9,04;8,55;11,64;89,68;1,37;9,52;71,70;28,30;44,28;17,04;236,34;;;;;;;;;;;;;;;;10,00;0,00;10,00;8,33;10,00;58,33;;;;;;;;;
220196;Brasileira;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,20;2,36;326,60;2,56;2,56;;80,05;8,87;61,82;108.217,25;92,12;58,40;77,23;0,00;0,00;63,40;83,83;9,25;0,00;0,00;96,66;;3,34;81,91;3,97;395,25;389,70;1,94;522,67;1,94;79,22;0,51;65,31;97,50;1,01;94,96;0,00;99,71;49,46;95,33;0,00;51,88;17,82;9,25;8,84;11,53;103,85;0,28;11,72;64,68;35,32;48,12;19,43;285,99;;;;;;;;;;;;;;;;19,44;5,71;19,44;0,00;19,44;0,00;;;;;;;;;
220198;Brejo do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,55;1,66;224,77;2,44;2,44;;95,91;7,60;44,63;78.687,38;67,86;35,19;46,54;0,00;0,00;51,86;68,58;20,61;0,00;0,00;83,79;;16,21;240,01;1,32;510,47;501,40;1,51;675,00;1,51;111,53;0,59;52,52;97,49;1,02;94,89;0,00;98,64;46,45;87,22;0,00;53,26;16,80;8,94;7,91;11,29;117,73;0,39;6,48;67,22;32,78;46,74;33,70;262,77;;;;;;;;;;;;;;;;28,33;0,00;28,33;0,00;28,33;0,00;;;;;;;;;
220200;Buriti dos Lopes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,36;1,52;226,82;2,72;2,72;;115,13;-3,15;35,18;114.810,05;56,00;18,43;30,55;0,00;0,00;32,91;54,56;32,86;0,90;0,00;94,26;;5,74;95,68;4,14;927,74;916,28;0,66;1.538,00;0,66;130,95;0,59;71,79;97,50;1,01;96,31;0,00;97,41;45,43;86,85;0,00;52,31;20,53;10,68;9,61;12,43;112,00;0,51;8,24;60,89;39,11;47,69;31,64;324,14;;;;;;;;;;;;;;;;25,00;4,44;25,00;0,00;25,00;6,67;;;;;;;;;
220205;Cabeceiras do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;7,42;4,74;686,34;2,65;2,65;;35,67;-4,69;45,18;98.396,58;179,09;116,26;126,67;0,00;0,00;64,92;70,73;25,57;0,00;0,00;94,23;;5,77;97,58;3,27;202,69;197,34;4,65;220,83;4,65;53,76;0,55;21,19;97,50;1,03;88,60;0,00;97,67;46,67;90,83;0,00;51,38;18,68;9,60;8,93;12,06;108,96;1,42;8,65;64,58;35,42;48,62;29,39;306,64;;;;;;;;;;;;;;;;38,33;0,00;38,33;0,00;38,33;30,43;;;;;;;;;
220210;Campinas do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,99;2,99;420,40;2,73;2,73;;68,47;-2,10;53,11;100.515,79;109,44;69,04;77,56;0,00;0,00;63,09;70,88;23,03;0,26;0,00;96,26;;3,74;63,51;2,25;337,35;337,35;2,64;379,00;2,64;77,74;0,58;41,02;97,50;1,00;94,06;0,00;99,74;47,65;92,21;0,00;51,68;18,15;9,38;8,67;11,72;116,66;0,77;7,54;64,57;35,43;48,32;30,90;288,39;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220213;Campo Grande do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,72;2,00;273,31;2,48;2,48;;91,09;31,66;56,17;;80,88;41,45;61,66;0,00;0,00;51,25;76,24;5,21;10,71;0,00;96,48;;3,52;170,35;;801,28;789,85;;;;65,70;0,52;32,06;97,48;1,01;85,82;0,00;38,47;16,77;25,52;0,00;65,71;15,28;10,04;6,62;11,37;114,12;0,15;13,93;74,45;25,55;34,29;10,01;174,74;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220225;Canavieira;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,04;3,18;503,05;2,82;2,82;;69,81;-19,93;58,98;100.625,06;112,77;76,47;84,49;0,00;0,00;67,81;74,92;19,14;0,00;0,00;94,63;;5,37;500,01;2,21;266,99;265,63;3,41;295,00;3,41;90,37;0,60;52,87;97,51;1,01;95,68;0,00;79,64;44,11;70,75;0,00;62,34;19,36;12,07;10,71;13,17;124,75;0,69;9,15;68,00;32,00;37,66;17,02;240,97;;;;;;;;;;;;;;;;16,67;0,00;16,67;0,00;16,67;0,00;;;;;;;;;
220230;Canto do Buriti;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,47;1,60;248,49;3,00;3,00;;121,66;8,86;44,03;101.781,14;53,10;33,41;36,19;0,00;0,00;62,92;68,16;19,82;0,00;0,00;96,19;;3,81;121,36;7,58;600,95;595,61;1,55;650,93;1,55;118,26;0,44;66,99;97,50;1,01;91,47;0,00;99,07;35,28;67,39;0,00;52,35;20,98;10,98;7,47;12,98;131,27;0,44;6,73;61,88;38,12;47,65;41,43;331,62;;;;;;;;;;;;;;;;35,00;0,00;35,00;0,00;35,00;0,00;;;;;;;;;
220240;Capitão de Campos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,47;2,61;398,70;2,84;2,84;;82,09;13,38;59,79;109.318,60;91,70;68,79;72,84;0,00;0,00;75,02;79,44;13,66;0,00;0,00;96,63;;3,37;414,97;4,24;345,17;339,97;2,78;365,50;2,78;75,59;0,60;45,76;78,97;1,02;94,15;0,00;100,00;49,42;95,90;0,00;51,53;20,90;10,77;10,33;12,74;100,95;0,36;9,76;60,94;39,06;48,47;25,80;338,13;;;;;;;;;;;;;;;;50,00;0,00;50,00;0,00;50,00;20,00;;;;;;;;;
220250;Caracol;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,19;3,28;453,35;2,66;2,66;;63,48;14,88;51,24;89.931,54;123,16;55,81;80,72;0,00;0,00;45,32;65,54;29,28;0,00;0,00;97,29;;2,71;347,91;2,89;302,68;294,72;2,35;437,75;2,35;58,38;0,60;29,22;74,08;1,03;93,26;0,00;92,20;15,32;29,84;0,00;51,33;18,39;9,44;3,08;11,53;87,52;1,00;10,73;62,68;37,32;48,67;16,72;302,16;;;;;;;;;;;;;;;;33,33;5,00;33,33;0,00;33,33;10,00;;;;;;;;;
220255;Caridade do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,04;3,23;440,83;2,47;2,47;;61,01;1,61;28,15;;131,01;10,60;46,14;0,00;0,00;8,09;35,22;49,44;10,36;0,00;93,27;;6,73;338,83;;;;;;;66,40;0,45;42,59;97,49;1,00;94,86;0,00;85,93;43,87;76,52;0,00;57,34;15,34;8,79;7,84;11,37;79,79;2,62;9,37;74,16;25,84;42,66;17,08;215,68;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220260;Castelo do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,04;1,19;169,70;2,67;2,67;;130,57;6,29;30,78;94.778,02;44,53;18,59;23,57;0,00;0,00;41,74;52,94;32,76;0,00;0,00;96,77;;3,23;79,20;3,80;1.055,00;1.032,65;0,76;1.338,00;0,76;135,66;0,59;73,12;97,50;1,02;94,58;100,00;99,53;46,88;91,33;0,00;51,33;18,74;9,62;8,84;11,92;102,95;0,42;5,90;63,57;36,43;48,67;42,88;306,41;;;;;;;;;;;;;;;;50,00;0,00;50,00;0,00;50,00;3,33;;;;;;;;;
220270;Cocal;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,37;1,56;223,13;2,65;2,65;;111,51;-1,26;48,10;99.528,57;59,13;35,43;43,14;0,00;0,00;59,91;72,95;15,59;0,69;0,00;96,42;;3,58;81,75;3,65;611,41;601,56;1,37;744,50;1,37;122,00;0,59;29,61;64,15;1,02;95,30;0,00;99,91;49,69;95,92;0,00;51,80;18,34;9,50;9,12;11,89;88,20;0,27;9,51;64,83;35,17;48,20;22,74;295,29;;;;;;;;;;;;;;;;40,00;0,00;40,00;0,00;40,00;0,00;;;;;;;;;
220275;Colônia do Gurguéia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,00;3,19;498,12;2,77;2,77;;69,05;-6,04;46,85;76.455,38;115,44;53,41;67,85;0,00;0,00;46,27;58,77;35,66;0,00;0,00;95,72;;4,28;469,87;2,54;261,15;259,58;3,03;331,75;3,03;77,70;0,48;37,33;46,46;1,01;95,63;0,00;67,25;22,30;42,33;0,00;52,68;21,57;11,36;7,19;13,00;109,55;1,44;10,72;60,30;39,70;47,32;12,19;337,57;;;;;;;;;;;;;;;;33,33;0,00;33,33;0,00;33,33;0,00;;;;;;;;;
220277;Colônia do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,70;1,92;288,16;2,65;2,65;;98,05;3,05;52,57;126.250,07;72,40;47,34;53,62;0,00;0,00;65,39;74,06;16,95;0,29;0,00;98,07;;1,93;358,19;1,70;591,59;588,65;1,50;670,00;1,50;99,95;0,60;44,48;97,50;1,00;94,98;58,64;99,65;50,71;95,30;0,00;53,21;19,56;10,41;9,99;12,53;114,96;0,34;10,61;64,06;35,94;46,79;21,54;302,38;;;;;;;;;;;;;;;;15,00;0,00;15,00;0,00;15,00;11,11;;;;;;;;;
220280;Conceição do Canindé;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,79;2,94;444,23;2,69;2,69;;71,04;0,54;46,29;115.162,63;109,31;57,68;65,16;0,00;0,00;52,77;59,61;34,38;0,00;0,00;94,32;;5,68;109,92;2,26;434,92;433,15;2,04;491,25;2,04;77,05;0,64;71,54;97,49;1,00;96,79;0,00;89,47;39,78;77,33;0,00;51,44;21,06;10,83;9,40;12,59;124,53;0,94;13,21;59,81;40,19;48,56;21,44;337,56;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
