codmun;municipio;UF;codpre;prestadora;sigla;abrangencia;natureza;servico
420070;Alfredo Wagner;SC;42007011;Prefeitura Municipal de Alfredo Wagner;PMAW;Local;Administração pública direta;E       
250057;Algodão de Jandaíra;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
250060;Alhandra;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
260070;Aliança;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
170035;Aliança do Tocantins;TO;17210000;Companhia de Saneamento do Tocantins;SANEATINS;Regional;Empresa privada;A
290090;Almadina;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
170040;Almas;TO;17210000;Companhia de Saneamento do Tocantins;SANEATINS;Regional;Empresa privada;A
310170;Almenara;MG;31686000;Copasa Serviços de Saneamento Integrado do Norte e Nordeste de ;COPANOR;Regional;Empresa pública;A
310170;Almenara;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
240060;Almino Afonso;RN;24081000;Companhia de As e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;A
410040;Almirante Tamandaré;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
430047;Almirante Tamandaré do Sul;RS;43004711;Prefeitura Municipal de Almirante Tamandaré do Sul;PMATS;Local;Administração pública direta;A         
520050;Aloândia;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
310180;Alpercata;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310180;Alpercata;MG;31018011;Prefeitura Municipal de Alpercata;PMA;Local;Administração pública direta;E       
430050;Alpestre;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
310190;Alpinópolis;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
510025;Alta Floresta;MT;51002511;CAB Alta Floresta Ltda;CAB;Local;Empresa privada;AE
110001;Alta Floresta D Oeste;RO;11000111;Serviço Autônomo de A e Esgoto;SAAE;Local;Autarquia;A         
350090;Altair;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
150060;Altamira;PA;15006011;Prefeitura Municipal de Altamira;PMA;Local;Administração pública direta;AE
210040;Altamira do Maranhão;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
410045;Altamira do Paraná;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;A
230060;Altaneira;CE;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;AE
310200;Alterosa;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310200;Alterosa;MG;31020011;Prefeitura Municipal de Alterosa;PMA;Local;Administração pública direta;E       
260080;Altinho;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
260080;Altinho;PE;26008011;Prefeitura Municipal de Altinho;PMA;Local;Administração pública direta;E       
350100;Altinópolis;SP;35010011;Prefeitura Municipal de Altinópolis;PMA;Local;Administração pública direta;AE
140005;Alto Alegre;RR;14001000;Companhia de As e Esgotos de Roraima;CAER;Regional;Sociedade de economia mista com administração pública;A
430055;Alto Alegre;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
350110;Alto Alegre;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
210043;Alto Alegre do Maranhão;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
210047;Alto Alegre do Pindaré;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
110037;Alto Alegre dos Parecis;RO;11003711;Prefeitura Municipal de Alto Alegre dos Parecis;PMAAP;Local;Administração pública direta;A         
510030;Alto Araguaia;MT;51003011;Prefeitura Municipal de Alto Araguaia;PMAA;Local;Administração pública direta;AE
420075;Alto Bela Vista;SC;42007511;Prefeitura Municipal de Alto Bela Vista;PMABV;Local;Administração pública direta;A         
510035;Alto Boa Vista;MT;51003511;Prefeitura Municipal de Alto Boa Vista;PMABV;Local;Administração pública direta;A         
310205;Alto Caparaó;MG;31020511;Prefeitura Municipal de Alto Caparaó;PMAC;Local;Administração pública direta;AE
240070;Alto do Rodrigues;RN;24081000;Companhia de Águas e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;AE
430057;Alto Feliz;RS;43005711;Prefeitura Municipal de Alto Feliz;PMAF;Local;Administração pública direta;A         
520055;Alto Horizonte;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
315350;Alto Jequitibá;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
315350;Alto Jequitibá;MG;31535011;Prefeitura Municipal de Alto Jequitibá;PMAJ;Local;Administração pública direta;E       
220030;Alto Longá;PI;22110000;As e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;A
110040;Alto Paraíso;RO;11002000;Companhia de As e Esgotos de Rondônia;CAERD;Regional;Sociedade de economia mista com administração pública;A
412862;Alto Paraíso;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
520060;Alto Paraíso de Goiás;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
410060;Alto Paraná;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
210050;Alto Parnaíba;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
410070;Alto Piquiri;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
310210;Alto Rio Doce;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310210;Alto Rio Doce;MG;31021011;Prefeitura Municipal de Alto Rio Doce;PMARD;Local;Administração pública direta;E       
320035;Alto Rio Novo;ES;32053000;Companhia Espírito-Santense de Saneamento;CESAN;Regional;Sociedade de economia mista com administração pública;A
230070;Alto Santo;CE;23044000;Companhia de A e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;A
410050;Altônia;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
220040;Altos;PI;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;AE
350115;Alumínio;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
130002;Alvarães;AM;13026000;Companhia de Saneamento do Amazonas;COSAMA;Regional;Sociedade de economia mista com administração pública;A
310220;Alvarenga;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310220;Alvarenga;MG;31022011;Prefeitura Municipal de Alvarenga;PMA;Local;Administração pública direta;E       
350120;Álvares Florence;SP;35012011;Datema Ambiental Saneamento Básico LTDA;PMV;Local;Empresa privada;AE
350130;Álvares Machado;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
350140;Álvaro de Carvalho;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
350150;Alvinlândia;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
310230;Alvinópolis;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
430060;Alvorada;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;AE
170070;Alvorada;TO;17210000;Companhia de Saneamento do Tocantins;SANEATINS;Regional;Empresa privada;A
110034;Alvorada D Oeste;RO;11003411;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
310240;Alvorada de Minas;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310240;Alvorada de Minas;MG;31024011;Prefeitura Municipal de Alvorada de Minas;PMAM;Local;Administração pública direta;E       
220045;Alvorada do Gurguéia;PI;22004511;Prefeitura Municipal de Alvorada do Gurguéia;PMAG;Local;Administração pública direta;A         
520080;Alvorada do Norte;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;AE
410080;Alvorada do Sul;PR;41008011;Serviço Autônomo de A e Esgoto de Alvorada do Sul;SAAE;Local;Autarquia;A         
140002;Amajari;RR;14001000;Companhia de As e Esgotos de Roraima;CAER;Regional;Sociedade de economia mista com administração pública;A
500060;Amambaí;MS;50027000;Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Regional;Sociedade de economia mista com administração pública;AE
160010;Amapá;AP;16003000;Companhia de Água e Esgoto do Amapá;CAESA;Regional;Sociedade de economia mista com administração pública;AE
210055;Amapá do Maranhão;MA;21005511;Prefeitura Municipal de Amapá do Maranhão;PMAM;Local;Administração pública direta;AE
410090;Amaporã;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;A
430063;Amaral Ferrador;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
520082;Amaralina;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
220050;Amarante;PI;22110000;As e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;A
210060;Amarante do Maranhão;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
290100;Amargosa;BA;29274000;Empresa Baiana de Águas e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;AE
290110;Amélia Rodrigues;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
290115;América Dourada;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
350160;Americana;SP;35016011;Departamento de AE de Americana;DAE;Local;Autarquia;AE
520085;Americano do Brasil;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
350170;Américo Brasiliense;SP;35017011;Prefeitura Municipal de Américo Brasiliense;PMAB;Local;Administração pública direta;AE
430064;Ametista do Sul;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
230075;Amontada;CE;23007511;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
520090;Amorinópolis;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
250073;Amparo;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
350190;Amparo;SP;35019011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
280010;Amparo de São Francisco;SE;28003000;Companhia de Saneamento de Sergipe;DESO;Regional;Sociedade de economia mista com administração pública;A
310250;Amparo do Serra;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
410100;Ampére;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
270020;Anadia;AL;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Sociedade de economia mista com administração pública;A
290120;Anagé;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
410105;Anahy;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;A
150070;Anajás;PA;15014000;Companhia de Saneamento do Pará;COSANPA;Regional;Sociedade de economia mista com administração pública;A
170100;Ananás;TO;17010011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
150080;Ananindeua;PA;15014000;Companhia de Saneamento do Pará;COSANPA;Regional;Sociedade de economia mista com administração pública;AE
520110;Anápolis;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;AE
210080;Anapurus;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
500070;Anastácio;MS;50027000;Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Regional;Sociedade de economia mista com administração pública;AE
500080;Anaurilândia;MS;50027000;Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Regional;Sociedade de economia mista com administração pública;A
420080;Anchieta;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
320040;Anchieta;ES;32053000;Companhia Espírito-Santense de Saneamento;CESAN;Regional;Sociedade de economia mista com administração pública;AE
