CODMUN;municipio;UF;CODREG;CODPRE;prestadora;Sigla;Abrangencia;Natureza;servico;IN003;IN026;IN027;IN004;IN005;IN006;IN012;IN029;IN007;IN008;IN030;IN031;IN032;IN033;IN034;IN035;IN036;IN037;IN038;IN039;IN040;IN041;IN042;IN054;IN018;IN019;IN102;IN048;IN002;IN045;IN101;IN060;IN055;IN023;IN001;IN043;IN011;IN009;IN010;IN044;IN057;IN052;IN025;IN053;IN014;IN017;IN022;IN058;IN020;IN028;IN013;IN049;IN050;IN051;IN056;IN024;IN047;IN015;IN016;IN046;IN021;IN059;IN071;IN072;IN073;IN074;IN077;IN082;IN083;IN079;IN075;IN080;IN076;IN085;IN084;IN061;IN062;IN063;IN064;IN068;IN065;IN069;IN066;IN067
220090;Aroazes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,43;2,67;383,00;2,50;2,50;;72,83;-0,06;62,10;207.364,68;107,15;47,37;85,27;0,00;0,66;44,22;79,58;14,82;0,00;0,61;97,28;;2,72;199,95;1,80;680,31;674,47;0,82;1.224,50;0,82;77,36;0,44;57,86;97,49;1,01;96,94;0,00;86,61;38,82;74,44;0,00;52,15;19,13;9,98;8,57;11,93;120,83;0,56;12,31;62,39;37,61;47,85;19,15;303,47;;;;;;;;;;;;;;;;45,00;37,04;45,00;0,00;45,00;22,22;;;;;;;;;
220100;Arraial;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;5,22;3,81;548,66;2,61;2,61;;50,04;-10,73;64,69;108.417,62;145,91;124,82;129,28;0,00;1,18;85,54;88,60;6,78;0,00;0,81;95,91;;4,09;370,45;2,07;223,02;220,61;4,38;231,00;4,38;67,09;0,45;34,18;65,86;1,01;93,83;0,00;99,56;45,33;92,52;0,00;49,00;19,72;9,66;8,98;11,99;92,53;0,35;9,30;60,80;39,20;51,00;21,25;334,34;;;;;;;;;;;;;;;;38,33;0,00;35,00;0,00;38,33;4,35;;;;;;;;;
220110;Avelino Lopes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,13;3,48;446,08;2,24;2,24;;54,32;-4,87;61,78;112.065,12;154,86;103,43;113,73;0,00;1,18;66,79;73,44;8,07;14,28;0,76;96,94;;3,06;317,45;6,60;342,08;339,80;2,68;376,17;2,68;59,85;0,28;59,24;97,64;1,01;96,74;0,00;31,56;5,80;13,71;0,00;42,30;23,40;9,50;4,13;10,69;104,88;0,46;6,30;47,59;52,41;57,70;53,67;429,01;;;;;;;;;;;;;;;;33,33;0,00;33,33;0,00;33,33;0,00;;;;;;;;;
220115;Baixa Grande do Ribeiro;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,65;1,81;294,17;2,85;2,85;;107,76;0,02;51,11;154.165,06;63,67;41,38;47,43;0,00;0,70;65,00;74,50;15,75;0,00;1,10;96,05;;3,95;242,63;2,29;703,46;697,79;1,25;806,25;1,25;115,90;0,32;57,77;93,66;1,01;95,97;0,00;53,95;23,38;54,93;0,00;42,57;29,63;12,61;12,83;13,51;105,90;0,40;9,37;45,60;54,40;57,43;44,00;563,89;;;;;;;;;;;;;;;;41,67;0,00;21,67;0,00;41,67;8,00;;;;;;;;;
220120;Barras;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,67;2,79;429,36;2,74;2,74;;74,56;-0,81;60,39;164.788,86;101,88;68,12;80,99;0,00;3,89;66,86;79,50;4,97;6,00;3,82;90,08;;9,92;253,00;12,48;482,77;472,44;1,78;574,00;1,78;86,25;0,28;38,24;77,51;1,02;91,90;99,32;99,93;65,43;95,09;0,00;68,81;15,87;10,48;9,98;12,83;120,21;0,40;6,30;84,19;15,81;31,19;21,30;159,66;;;;;;;;;;;;;;;;150,00;6,11;150,00;4,44;150,00;3,33;;;;;;;;;
220130;Barreiras do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,26;3,47;523,61;2,70;2,70;;63,44;-4,32;66,77;115.254,79;128,57;96,26;105,24;0,00;1,13;74,87;81,85;12,96;0,00;0,88;96,06;;3,94;378,39;2,19;268,91;266,40;3,43;294,00;3,43;70,19;0,44;56,23;97,00;1,01;91,84;0,00;46,70;19,88;33,99;0,00;58,48;19,86;11,62;8,50;12,57;121,42;0,65;10,76;63,26;36,74;41,52;18,45;273,69;;;;;;;;;;;;;;;;66,67;0,00;66,67;0,00;66,67;0,00;;;;;;;;;
220140;Barro Duro;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,43;2,65;389,96;2,51;2,51;;73,17;-2,11;58,17;141.198,98;105,60;62,49;79,50;0,00;1,14;59,18;75,29;18,45;0,00;1,08;96,33;;3,67;185,04;3,82;480,93;466,00;1,69;611,83;1,69;80,50;0,40;67,80;93,54;1,03;93,84;0,00;94,88;47,76;81,61;0,00;58,52;17,59;10,30;8,87;12,24;132,37;0,86;8,37;69,60;30,40;41,48;24,05;247,60;;;;;;;;;;;;;;;;133,33;0,00;133,33;0,00;133,33;8,75;;;;;;;;;
220150;Batalha;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,70;1,92;292,07;2,66;2,66;;98,49;1,74;59,82;153.612,26;72,08;52,21;60,73;0,00;0,95;72,43;84,26;6,93;0,00;1,32;96,28;;3,72;132,69;5,82;624,20;617,32;1,39;726,10;1,39;103,96;0,45;36,95;99,14;1,01;93,66;0,99;99,86;50,85;95,91;0,00;53,02;19,80;10,50;10,08;12,69;130,43;0,19;9,50;64,08;35,92;46,98;28,08;309,20;;;;;;;;;;;;;;;;136,67;2,44;136,67;6,10;136,67;3,66;;;;;;;;;
220157;Belém do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,54;2,75;367,70;2,51;2,51;;70,88;-0,09;66,08;96.493,32;109,47;43,73;93,23;0,00;2,12;39,94;85,16;7,96;0,00;1,93;95,68;;4,32;80,25;2,13;308,15;304,63;1,54;657,00;1,54;77,07;0,33;48,11;98,57;1,01;93,30;0,00;99,92;60,56;97,58;0,00;62,06;13,89;8,27;8,08;11,14;109,29;0,54;8,10;83,56;16,44;37,94;18,30;168,22;;;;;;;;;;;;;;;;50,00;20,00;50,00;43,33;40,00;20,83;;;;;;;;;
220160;Beneditinos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,84;2,50;349,45;2,47;2,47;;64,36;-8,06;57,48;160.190,55;101,24;80,27;89,31;0,00;1,60;79,29;88,22;4,67;0,00;1,59;93,40;;6,60;97,44;3,34;519,63;514,84;1,75;578,17;1,75;90,29;0,47;61,14;96,79;1,01;95,76;0,00;97,67;53,89;88,04;0,00;61,21;14,80;9,06;8,22;11,65;87,72;0,19;8,04;78,74;21,26;38,79;17,72;190,48;;;;;;;;;;;;;;;;111,67;0,00;111,67;0,00;111,67;4,48;;;;;;;;;
220170;Bertolínia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,85;2,97;455,04;2,80;2,80;;72,79;-4,53;57,05;132.149,70;105,82;67,47;78,38;0,00;1,00;63,76;74,06;19,62;0,00;0,94;92,86;;7,14;242,83;3,48;392,12;387,09;2,22;455,50;2,22;84,72;0,26;71,70;97,95;1,01;94,84;0,00;83,21;20,98;67,92;0,00;30,90;35,83;11,07;9,04;12,78;129,07;0,79;13,97;35,66;64,34;69,10;45,47;824,52;;;;;;;;;;;;;;;;38,33;30,43;20,00;0,00;38,33;30,43;;;;;;;;;
220180;Bocaina;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,16;2,42;333,74;2,55;2,55;;80,58;-2,59;59,31;185.677,75;95,02;67,30;73,60;0,00;0,65;70,83;77,46;16,34;0,00;0,68;98,58;;1,42;165,78;1,09;718,25;717,80;1,27;785,50;1,27;86,37;0,44;39,20;98,08;1,00;96,12;0,00;86,43;32,10;62,05;0,00;51,74;18,28;9,46;6,79;11,49;141,58;0,57;10,37;62,86;37,14;48,26;25,20;290,17;;;;;;;;;;;;;;;;50,00;36,67;50,00;0,00;50,00;3,33;;;;;;;;;
220190;Bom Jesus;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,40;3,59;586,89;2,82;2,82;;64,06;-0,75;62,55;198.313,78;127,40;63,21;97,63;0,00;6,91;49,62;76,64;13,44;0,00;5,42;94,58;;5,42;396,96;15,45;440,92;420,79;1,54;681,05;1,54;69,19;0,35;59,73;76,70;1,05;89,89;0,00;71,81;26,49;62,76;0,00;42,20;29,15;12,30;10,83;13,60;170,52;0,64;3,54;46,68;53,32;57,80;142,45;580,34;;;;;;;;;;;;;;;;236,67;0,00;236,67;0,00;236,67;21,13;;;;;;;;;
220192;Bonfim do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,66;3,99;554,94;2,22;2,22;;47,79;-19,80;65,46;;179,37;0,60;136,98;0,00;1,54;0,33;76,37;19,52;0,00;0,86;93,31;;6,69;374,74;;;;;;;62,24;0,44;25,89;85,39;1,00;94,82;0,00;97,64;53,52;93,64;0,00;57,15;16,49;9,05;8,68;11,59;91,00;1,25;9,72;73,20;26,80;42,85;15,78;223,58;;;;;;;;;;;;;;;;12,50;0,00;12,50;0,00;12,50;6,67;;;;;;;;;
220196;Brasileira;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,68;2,89;410,39;2,46;2,46;;66,82;-1,43;68,80;133.756,92;117,80;75,56;102,97;0,00;1,64;64,14;87,41;6,64;0,00;1,39;97,19;;2,81;81,94;4,09;372,89;367,27;2,00;508,17;2,00;72,65;0,39;47,32;95,93;1,02;94,75;0,00;99,63;49,68;95,57;0,00;51,98;18,54;9,64;9,25;11,81;133,65;0,31;11,21;63,70;36,30;48,02;20,06;297,24;;;;;;;;;;;;;;;;39,44;2,82;39,44;0,00;39,44;1,41;;;;;;;;;
220198;Brejo do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,10;2,30;317,76;2,36;2,36;;75,99;-17,47;58,18;119.277,94;97,70;56,99;76,56;0,00;4,76;58,33;78,35;10,78;0,00;4,87;89,71;;10,29;289,94;1,34;479,07;468,64;1,59;643,50;1,59;104,17;0,45;36,05;97,31;1,02;94,72;0,00;98,49;43,59;88,94;0,00;49,01;18,76;9,19;8,30;11,50;144,82;0,34;4,77;61,28;38,72;50,99;55,75;321,50;;;;;;;;;;;;;;;;46,67;0,00;38,33;0,00;43,33;3,85;;;;;;;;;
220200;Buriti dos Lopes;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,65;1,88;282,87;2,56;2,56;;96,50;-6,40;51,55;182.118,92;73,63;37,89;53,42;0,00;0,75;51,46;72,56;18,94;0,00;1,01;94,77;;5,23;109,61;4,23;887,31;875,97;0,81;1.251,17;0,81;112,13;0,45;52,47;73,78;1,01;96,16;0,00;98,48;43,16;89,69;0,00;48,13;22,64;10,82;9,95;12,52;131,06;0,44;8,47;55,70;44,30;51,87;37,00;388,42;;;;;;;;;;;;;;;;64,44;1,72;64,44;0,86;64,44;6,90;;;;;;;;;
220205;Cabeceiras do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;5,89;5,08;799,00;2,31;2,31;;39,19;-12,74;67,31;124.441,51;220,13;157,51;171,76;0,00;0,93;71,55;78,03;18,58;0,00;0,42;91,41;;8,59;112,92;3,27;199,61;194,41;4,72;217,67;4,72;49,81;0,35;16,05;96,15;1,03;87,52;0,00;98,19;26,74;94,13;0,00;28,40;38,14;10,83;10,39;13,10;140,50;0,93;8,81;34,34;65,66;71,60;88,83;921,86;;;;;;;;;;;;;;;;111,67;1,49;111,67;0,00;111,67;26,87;;;;;;;;;
220210;Campinas do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,14;3,27;465,57;2,34;2,34;;56,55;-17,55;62,47;118.655,18;139,95;94,80;110,47;0,00;0,67;67,74;78,94;16,51;0,00;0,48;95,67;;4,33;78,72;2,33;322,87;322,87;2,66;376,25;2,66;73,93;0,44;31,81;95,21;1,00;94,55;0,00;99,67;50,14;96,64;0,00;51,89;18,59;9,65;9,35;11,85;135,27;0,78;6,51;63,72;36,28;48,11;37,01;294,11;;;;;;;;;;;;;;;;36,67;72,73;36,67;0,00;25,00;26,67;;;;;;;;;
220213;Campo Grande do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;1,56;0,90;52,25;2,21;2,21;;141,71;100,00;48,67;;40,54;4,80;34,34;0,00;0,89;11,84;84,71;0,43;0,00;2,19;98,13;;1,87;145,95;;;;;;;0,00;0,00;27,48;97,96;1,02;83,22;0,00;37,12;17,84;26,99;0,00;66,12;6,76;4,47;3,25;4,86;52,39;2,13;14,89;71,94;28,06;33,88;4,15;76,76;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220225;Canavieira;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,60;3,81;581,66;2,64;2,64;;57,45;-4,24;67,18;117.807,85;144,41;101,38;116,93;0,00;2,89;70,20;80,97;13,13;0,00;2,00;95,04;;4,96;655,28;2,31;250,14;248,84;3,48;288,50;3,48;64,21;0,45;43,21;97,46;1,01;95,75;0,00;74,22;27,98;57,93;0,00;48,29;24,23;11,70;9,12;12,71;131,68;0,58;9,25;52,46;47,54;51,71;28,60;414,01;;;;;;;;;;;;;;;;35,00;28,57;11,67;0,00;35,00;9,52;;;;;;;;;
220230;Canto do Buriti;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,77;2,03;318,04;2,59;2,59;;93,21;-4,63;58,68;137.388,25;78,56;53,66;62,95;0,00;0,88;68,31;80,14;11,91;0,00;1,12;96,39;;3,61;175,27;8,21;539,06;533,82;1,60;632,43;1,60;103,76;0,30;54,30;97,68;1,01;91,35;0,00;99,11;27,83;67,45;0,00;41,25;26,30;10,85;7,38;13,05;141,33;0,40;6,90;49,60;50,40;58,75;62,21;513,01;;;;;;;;;;;;;;;;70,00;2,38;45,00;0,00;70,00;0,00;;;;;;;;;
220240;Capitão de Campos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,95;3,14;479,69;2,76;2,76;;69,93;5,66;67,93;129.020,88;113,69;87,06;97,13;0,00;0,75;76,57;85,44;9,23;0,00;0,66;97,03;;2,97;464,91;4,46;314,82;309,33;2,90;351,25;2,90;69,66;0,45;45,63;78,74;1,02;93,81;0,00;100,00;37,77;98,49;0,00;38,35;28,14;10,79;10,63;12,72;100,56;0,29;10,01;45,21;54,79;61,65;42,47;580,47;;;;;;;;;;;;;;;;135,00;0,00;135,00;2,47;135,00;8,64;;;;;;;;;
220250;Caracol;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,81;3,97;587,57;2,43;2,43;;50,60;-4,32;54,83;119.672,61;162,98;76,18;108,36;0,00;1,57;46,74;66,48;29,09;0,00;0,96;94,79;;5,21;374,94;2,84;306,36;297,39;2,36;435,75;2,36;58,08;0,47;29,27;74,21;1,03;92,89;0,00;91,13;23,43;45,91;0,00;51,04;19,37;9,89;5,01;12,34;92,83;1,55;11,02;63,70;36,30;48,96;17,64;321,25;;;;;;;;;;;;;;;;41,67;20,00;60,00;0,00;60,00;27,78;;;;;;;;;
220255;Caridade do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;5,22;4,37;613,70;2,67;2,67;;51,13;21,25;16,09;;163,75;1,58;31,48;0,00;0,50;0,96;19,22;56,15;20,99;0,31;94,61;;5,39;316,38;;;;;;;43,74;0,24;40,79;98,09;1,00;95,02;0,00;85,84;38,82;77,53;0,00;50,08;18,39;9,21;8,32;11,70;96,43;6,47;8,81;63,61;36,39;49,92;25,26;302,61;;;;;;;;;;;;;;;;25,00;8,89;25,00;0,00;25,00;0,00;;;;;;;;;
220260;Castelo do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,39;1,58;229,95;2,56;2,56;;106,99;-4,96;47,37;162.187,86;61,83;33,58;44,27;0,00;0,92;54,31;71,60;18,11;0,00;1,49;96,41;;3,59;84,54;3,96;985,03;962,52;0,79;1.298,67;0,79;123,89;0,45;61,66;98,49;1,02;94,42;100,00;99,54;38,20;92,90;0,00;41,13;24,09;9,91;9,26;12,11;112,21;0,32;5,87;50,26;49,74;58,87;67,34;477,21;;;;;;;;;;;;;;;;128,33;6,49;128,33;1,30;128,33;7,79;;;;;;;;;
220270;Cocal;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,87;2,11;303,36;2,53;2,53;;88,12;-1,02;61,45;144.965,21;83,47;55,94;69,74;0,00;0,70;67,02;83,55;9,17;0,00;0,84;96,74;;3,26;84,41;3,74;571,94;562,04;1,43;713,00;1,43;95,42;0,47;28,54;61,82;1,02;95,68;0,00;99,88;46,97;97,02;0,00;48,41;20,06;9,71;9,43;11,96;89,82;0,25;7,81;59,65;40,35;51,59;32,18;346,12;;;;;;;;;;;;;;;;190,00;5,26;190,00;7,02;190,00;7,02;;;;;;;;;
220275;Colônia do Gurguéia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;5,00;4,24;667,49;2,69;2,69;;53,85;-0,25;54,66;104.898,72;157,25;79,59;101,49;0,00;6,69;50,61;64,54;27,68;0,00;4,25;94,86;;5,14;583,15;2,55;243,49;242,12;3,24;310,50;3,24;57,52;0,46;34,52;42,96;1,01;95,81;0,00;70,04;22,08;45,78;0,00;48,23;23,31;11,25;7,39;13,13;108,25;1,43;10,93;56,31;43,69;51,77;13,49;399,05;;;;;;;;;;;;;;;;200,00;0,00;200,00;0,00;200,00;13,33;;;;;;;;;
220277;Colônia do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,37;2,62;405,75;2,58;2,58;;76,42;1,10;63,61;138.288,74;101,44;71,54;83,24;0,00;3,52;70,53;82,06;9,13;0,00;3,47;96,81;;3,19;351,61;2,33;415,34;412,98;2,08;483,25;2,08;80,20;0,46;35,03;98,47;1,01;95,60;0,00;99,22;46,48;95,33;0,00;48,75;22,55;10,99;10,61;12,93;133,96;0,30;10,96;57,33;42,67;51,25;26,16;382,14;;;;;;;;;;;;;;;;76,67;2,17;70,00;0,00;76,67;17,39;;;;;;;;;
220280;Conceição do Canindé;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,88;3,11;481,59;2,51;2,51;;64,55;-6,70;57,30;138.738,40;124,24;74,88;88,77;0,00;1,24;60,27;71,45;23,17;0,00;1,00;96,21;;3,79;120,62;2,37;403,19;401,30;2,10;478,00;2,10;73,76;0,48;52,38;99,21;1,00;96,71;0,00;91,64;38,69;80,89;0,00;47,83;23,16;11,08;9,82;12,89;149,45;0,84;13,50;55,63;44,37;52,17;24,92;399,14;;;;;;;;;;;;;;;;10,00;83,33;10,00;0,00;8,33;0,00;;;;;;;;;
